,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1021,en,The Grand Budapest Hotel,"$31,000,000","$163,981,261",FoxS,tt2278388,The Grand Budapest Hotel,2014,99.0,"Adventure,Comedy,Crime",8.1,633604
1022,en,Rio 2,"$130,000,000","$492,846,291",Fox,tt2357291,Rio 2,2014,101.0,"Adventure,Animation,Comedy",6.3,72209
1023,en,Captain America: The Winter Soldier,"$170,000,000","$714,401,889",BV,tt1843866,Captain America: The Winter Soldier,2014,136.0,"Action,Adventure,Sci-Fi",7.8,666252
1024,en,The November Man,"$15,000,000","$34,820,335",Rela.,tt2402157,The November Man,2014,108.0,"Action,Crime,Thriller",6.3,59293
1025,en,Divergent,"$85,000,000","$276,014,965",LG/S,tt1840309,Divergent,2014,139.0,"Action,Adventure,Mystery",6.7,399703
1026,en,Lucy,"$40,000,000","$457,507,776",Uni.,tt2872732,Lucy,2014,89.0,"Action,Sci-Fi,Thriller",6.4,403194
1027,en,Lucy,"$40,000,000","$457,507,776",Uni.,tt6142034,Lucy,2016,40.0,Documentary,7.0,6
1028,en,The Judge,"$50,000,000","$76,119,388",WB,tt1872194,The Judge,2014,141.0,"Crime,Drama",7.4,162952
1029,en,The Judge,"$50,000,000","$76,119,388",WB,tt6246092,The Judge,2017,76.0,Documentary,7.3,84
1030,en,The Judge,"$50,000,000","$76,119,388",WB,tt1872194,The Judge,2014,141.0,"Crime,Drama",7.4,162952
1031,en,The Judge,"$50,000,000","$76,119,388",WB,tt6246092,The Judge,2017,76.0,Documentary,7.3,84
1032,en,St. Vincent,"$13,000,000","$54,837,234",Wein.,tt2170593,St. Vincent,2014,102.0,"Comedy,Drama",7.3,89372
1033,en,Dumb and Dumber To,"$40,000,000","$156,553,592",Uni.,tt2096672,Dumb and Dumber To,2014,109.0,"Adventure,Comedy",5.6,118646
1034,en,Escobar: Paradise Lost,"$17,000,000","$3,917,679",RTWC,tt2515030,Escobar: Paradise Lost,2014,120.0,"Crime,Drama,History",6.5,19419
1035,en,Ouija,"$5,000,000","$103,300,632",Uni.,tt1204977,Ouija,2014,89.0,"Horror,Mystery,Thriller",4.5,44054
1036,en,Camp X-Ray,"$1,000,000","$101,053",IFC,tt2994190,Camp X-Ray,2014,117.0,"Drama,War",6.9,36700
1037,en,Neighbors,"$18,000,000","$270,944,428",Uni.,tt2004420,Neighbors,2014,97.0,Comedy,6.3,266020
1038,en,Neighbors,"$18,000,000","$270,944,428",Uni.,tt9392532,Neighbors,2018,90.0,"Comedy,Drama",7.6,18
1039,en,The Drop,"$12,600,000","$19,054,534",FoxS,tt1600196,The Drop,2014,106.0,"Crime,Drama",7.1,132161
1040,ko,Snowpiercer,"$40,000,000","$88,069,880",RTWC,tt1706620,Snowpiercer,2013,126.0,"Action,Drama,Sci-Fi",7.1,239264
1041,en,Inherent Vice,"$20,000,000","$14,772,346",WB,tt1791528,Inherent Vice,2014,148.0,"Comedy,Crime,Drama",6.7,83346
